event_id,p_completed,p_terminated,p_withdrawn,outcome_probability_source,outcome_match_source,actual_deal_status_raw,actual_outcome_label,outcome_train_n,outcome_train_completed,outcome_train_terminated,outcome_train_withdrawn,outcome_nb_categorical_alpha,outcome_nb_prior_strength,outcome_nb_variance_shrinkage,outcome_nb_likelihood_weight,outcome_nb_prior_blend,outcome_nb_inner_validation_brier
E000045_20200207_FGL_Holdings__Fidelity_National_Financial_Inc,0.8528142208903615,0.1088141328387524,0.038371646270886,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000046_20140321_LIN_Media_LLC__Media_General_Inc,0.8512045820074261,0.1133867538035102,0.0354086641890636,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000047_20140602_American_Realty_Capital_Healthcare_Trust_Inc__Ventas_Inc,0.851441278921488,0.1131799594435943,0.0353787616349176,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000048_20071207_Rovi_Guides_Inc__Rovi_Corp,0.8476070669563646,0.1180327845807949,0.0343601484628405,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000049_20140911_Conversant_Inc__Bread_Financial_Holdings_Inc,0.8513912427035228,0.1132312014959583,0.0353775558005187,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000050_20140917_Auxilium_Pharmaceuticals_LLC__Endo_International_PLC,0.6881933951333997,0.2096962894991568,0.1021103153674434,bbg_naive_bayes_temporal_tuned_full_training,event_frame_fallback_no_bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000051_20140312_EPL_Oil___Gas_Inc__Energy_XXI_Ltd,0.842654121625698,0.1205562540213328,0.0367896243529693,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000052_20240628_Infinera_Corp__Nokia_Oyj,0.8413517384503639,0.1031337093614746,0.0555145521881613,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000053_20140428_Susser_Holdings_Corp__ETP_Legacy_LP,0.8515465545906368,0.113101644135722,0.0353518012736412,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000054_20240229_Sterling_Check_Corp__First_Advantage_Corp,0.8583486137343302,0.1028500345611375,0.0388013517045323,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
