event_id,target,signal,selected_strategy,signal_reason,elect,E_return_%,downside_5%_%,loss_probability_%,realized_return_%,p_completed,p_terminated,p_withdrawn,hedge_side,hedge_ratio,capacity_optimal_notional,capacity_optimal_expected_pnl,capacity_adjusted_E_return_%,capacity_adjusted_realized_return_%
E000092_20100419_GEO_Reentry_Inc__GEO_Group_Inc_The,GEO Reentry Inc,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,STOCK,20.93,18.6,0.0,18.6,0.8516,0.1139,0.0345,LONG_ACQUIRER,1.04,,,,
E000093_20130909_MTR_Gaming_Group_Inc__Caesars_Entertainment_Inc,MTR Gaming Group Inc,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,16.81,-25.0,14.62,14.64,0.8532,0.112,0.0348,SHORT_ACQUIRER,0.128,,,,
E000091_20070923_C-COR_Inc_Old__ARRIS_Group_Inc,C-COR Inc/Old,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,10.71,-25.0,15.09,,0.85,0.1156,0.0343,SHORT_ACQUIRER,0.131,,,,
E000259_20120503_Alliance_Bankshares_Corp__WashingtonFirst_Bankshares_Inc,Alliance Bankshares Corp,ENTER,LONG_TARGET_ELECTION,risk_adjusted_return_positive,CASH,10.62,-25.0,14.27,17.78,0.8598,0.1058,0.0344,SHORT_ACQUIRER,0.177,4288.275,458.385,10.6893,17.7765
E000151_20120531_Beacon_Federal_Bancorp_Inc__Beacon_Financial_Corp,Beacon Federal Bancorp Inc,PASS_P05,PASS,best_candidate_p05_below_floor,STOCK,10.16,-35.0,30.25,,0.6933,0.2293,0.0774,SHORT_ACQUIRER,0.727,,,,
E000083_20120723_GeoEye_Inc__DigitalGlobe_Inc,GeoEye Inc,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,STOCK,9.97,5.06,0.0,5.06,0.8523,0.1129,0.0347,LONG_ACQUIRER,0.713,11773587.83,1174117.5043,9.9725,5.0638
E000170_20080910_American_Community_Bancshares_Inc__Yadkin_Financial_Corp,American Community Bancsha,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,CASH,9.19,-29.01,15.02,,0.8508,0.1148,0.0344,SHORT_ACQUIRER,0.343,,,,
E000012_20131023_Cole_Real_Estate_Investment_Inc__VEREIT_Inc,Cole Real Estate Investmen,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,STOCK,7.53,-1.49,69.28,-1.49,0.6911,0.2199,0.089,LONG_ACQUIRER,0.874,,,,
E000050_20140917_Auxilium_Pharmaceuticals_LLC__Endo_International_PLC,"Auxilium Pharmaceuticals, ",PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,CASH,7.47,-5.09,68.95,-5.09,0.6882,0.2097,0.1021,LONG_ACQUIRER,0.244,,,,
E000196_20221019_HV_Bancorp_Inc__Citizens_Financial_Services_Inc,HV Bancorp Inc,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,7.46,-25.0,13.81,10.55,0.8621,0.1021,0.0358,SHORT_ACQUIRER,0.157,,,,
E000078_20201005_Eidos_Therapeutics_Inc__Bridgebio_Pharma_Inc,Eidos Therapeutics Inc,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,STOCK,7.38,1.66,0.0,1.66,0.8594,0.1042,0.0364,LONG_ACQUIRER,0.925,17189831.425,1269232.2335,7.3836,1.6592
E000037_20090420_PepsiAmericas_Inc__PepsiCo_Inc,PepsiAmericas Inc,ENTER,LONG_TARGET_ELECTION,risk_adjusted_return_positive,CASH,7.33,-25.0,15.13,15.57,0.8474,0.1181,0.0345,SHORT_ACQUIRER,0.067,18515498.1318,1364925.1796,7.3718,15.5718
E000249_20240307_Superior_Drilling_Products_Inc__Drilling_Tools_International_Corp,Superior Drilling Products,ENTER,LONG_TARGET_ELECTION,risk_adjusted_return_positive,CASH,7.21,-25.0,13.83,14.03,0.8597,0.1035,0.0369,SHORT_ACQUIRER,0.041,114338.5944,7846.1572,6.8622,14.0251
E000122_20070720_Oak_Hill_Financial_Inc__WesBanco_Inc,Oak Hill Financial Inc,ENTER,LONG_TARGET_ELECTION,risk_adjusted_return_positive,CASH,6.97,-25.0,14.44,4.49,0.8571,0.1086,0.0343,SHORT_ACQUIRER,0.701,635247.361,43587.9522,6.8616,4.4743
